run_id,makespan,energy,utilization,sla_violation
202,978.98,554310.08,0.8052,0.06
203,895.3,540236.94,0.8577,0.0537
204,861.52,484577.26,0.8552,0.0879
205,975.69,490824.67,0.8176,0.0354
206,967.44,540230.58,0.8095,0.0233
207,1051.61,565936.45,0.7937,0.0421
208,1137.48,547383.44,0.7764,0.0554
209,908.8,545616.67,0.7993,0.0537
210,926.71,489479.4,0.8297,0.0494
211,825.74,459454.14,0.8399,0.0239
212,963.83,514263.12,0.8135,0.0098
213,975.34,554604.9,0.8395,0.0528
214,815.83,499183.41,0.8615,0.0058
215,858.69,437333.01,0.8687,0.0365
216,932.94,490977.56,0.8443,0.0599
217,847.61,487283.25,0.8908,0.04
218,917.11,495384.69,0.7997,0.0657
219,994.98,495067.88,0.8353,0.0744
220,905.01,546228.2,0.7804,0.0745
221,1056.82,530732.06,0.8379,0.0858
222,931.06,536447.96,0.8441,0.0631
223,927.51,439328.21,0.8336,0.1015
224,1048.66,541513.89,0.786,0.0693
225,1013.4,551137.78,0.8128,0.0769
226,930.02,512744.75,0.8279,0.0427
227,822.72,485485.06,0.8526,0.0526
228,897.78,449167.74,0.8029,0.0777
229,880.4,517250.2,0.8152,0.0881
230,891.86,497093.48,0.8705,0.0552
231,926.65,451502.96,0.8306,0.0596
232,954.37,504801.47,0.8818,0.0435
233,976.21,465572.91,0.8646,0.0383
234,915.69,479499.87,0.8374,0.055
235,918.65,446063.53,0.8575,0.0799
236,876.53,469728.75,0.8521,0.0359
237,843.27,496319.81,0.871,0.0447
238,915.01,492516.87,0.8325,0.0283
239,878.96,491270.12,0.8542,0.0322
240,1028.91,528914.74,0.7836,0.0612
241,949.03,512726.67,0.8086,0.0592
242,840.5,430006.38,0.8557,0.0525
243,966.0,553423.2,0.8172,0.0532
244,971.96,512802.8,0.825,0.0684
245,861.49,426762.3,0.8446,0.0402
246,1058.72,491561.93,0.7963,0.1044
247,979.3,554833.79,0.85,0.0309
248,893.14,456991.89,0.847,0.0753
249,957.65,465325.51,0.79,0.0725
250,861.79,454710.08,0.8462,0.0337
251,976.74,539562.74,0.8203,0.0625
252,947.97,509248.89,0.8736,0.0273
253,939.14,471454.45,0.8823,0.0578
254,883.48,504611.65,0.8658,0.0368
255,906.34,529045.94,0.8029,0.0431
256,950.34,440476.5,0.7895,0.0666
257,981.05,518884.57,0.7871,0.0893
258,878.41,472189.44,0.8663,0.0789
259,948.99,501772.57,0.84,0.071
260,874.02,545951.65,0.8291,0.0445
261,937.41,490915.42,0.8134,0.0386
262,1004.5,532533.69,0.7869,0.0795
263,1045.92,548940.88,0.8035,0.0642
264,909.7,485278.29,0.8283,0.0285
265,1080.7,611048.8,0.8031,0.044
266,886.66,492973.61,0.8067,0.0205
267,1072.05,524771.06,0.7867,0.0786
268,974.62,512676.6,0.7928,0.0589
269,994.9,595122.59,0.8058,0.0416
270,852.85,493107.48,0.8235,0.0964
271,916.57,533211.43,0.8147,0.0733
272,937.96,503075.91,0.7946,0.1142
273,897.4,478959.97,0.866,0.0659
274,1053.31,542146.77,0.7974,0.0758
275,856.31,480098.26,0.8519,0.0612
