run_id,makespan,energy,utilization,sla_violation,F,w1_ms,w2_en,w3_ruDown,w4_sla,row_index
451.0,864.71,452071.83,0.9181,0.001,0.06929431227779852,0.018857830830212415,0.31480269742899747,0.1707969666984066,0.49554250504238356,451
451.0,864.71,452071.83,0.9181,0.001,0.12076165329580248,0.303203539620939,0.1771183663752616,0.32655801787377087,0.19312007613002868,451
379.0,747.53,456570.47,0.8961,0.0295,0.09117071555284285,0.4991513567534719,0.053960831504556446,0.2452883711282329,0.20159944061373872,379
451.0,864.71,452071.83,0.9181,0.001,0.14992512401744215,0.23444788978043452,0.42611153458054335,0.18125384324630592,0.15818673239271605,451
451.0,864.71,452071.83,0.9181,0.001,0.034860432588456905,0.08730774596491764,0.022786763141075802,0.63284001318648,0.2570654777075267,451
379.0,747.53,456570.47,0.8961,0.0295,0.09550043220855034,0.5174784226639282,0.13592307587311603,0.146115074777949,0.20048342668500663,379
379.0,747.53,456570.47,0.8961,0.0295,0.09638467791549252,0.37946769978976014,0.10669878104018693,0.4622406642119305,0.051592854958122554,379
451.0,864.71,452071.83,0.9181,0.001,0.09910458112587907,0.2737359011342257,0.10842897174967892,0.32136924631586716,0.29646588080022823,451
451.0,864.71,452071.83,0.9181,0.001,0.06846170516885275,0.08667321938377257,0.20178627660514703,0.4718242020005822,0.23971630201049807,451
451.0,864.71,452071.83,0.9181,0.001,0.06498048943556134,0.09056638487663829,0.1866933002205723,0.32509995898704824,0.39764035591574104,451
379.0,747.53,456570.47,0.8961,0.0295,0.07251094169235749,0.5886903731832008,0.08369014953123402,0.21841056968921635,0.10920890759634874,379
19.0,826.59,403180.9,0.8588,0.0519,0.1463523172736291,0.24534653122516395,0.49079096927580196,0.10883652561333418,0.15502597388569989,19
451.0,864.71,452071.83,0.9181,0.001,0.11528371719037825,0.14830212837118603,0.35619524658528523,0.42552538638489973,0.06997723865862895,451
379.0,747.53,456570.47,0.8961,0.0295,0.11190184342471997,0.4961145212995458,0.20164946919046337,0.021541239724926546,0.2806947697850643,379
451.0,864.71,452071.83,0.9181,0.001,0.08361023238854243,0.031123637454726974,0.3621991035269521,0.32241079792227295,0.2842664610960479,451
451.0,864.71,452071.83,0.9181,0.001,0.06698188397556075,0.19045427673358548,0.0640946894585321,0.24990128026569716,0.4955497535421854,451
451.0,864.71,452071.83,0.9181,0.001,0.1288215048324755,0.09554269083384925,0.5173255989591906,0.03796825416884743,0.3491634560381128,451
451.0,864.71,452071.83,0.9181,0.001,0.07243202471459925,0.2143111568748765,0.04011003598403397,0.6041767843014708,0.1414020228396189,451
379.0,747.53,456570.47,0.8961,0.0295,0.08023513683499309,0.5536275182835194,0.05598897487167005,0.2274439630437727,0.16293954380103787,379
451.0,864.71,452071.83,0.9181,0.001,0.10218886812995051,0.1777036042410815,0.2558214968915604,0.3137260729947723,0.2527488258725858,451
613.0,875.41,416324.64,0.837,0.0227,0.11978915845485805,0.08725303183179224,0.5881238905332818,0.017806998779091622,0.30681607885583434,613
451.0,864.71,452071.83,0.9181,0.001,0.07773934449173468,0.07114393331878395,0.28422445650396905,0.2016710113493302,0.44296059882791683,451
451.0,864.71,452071.83,0.9181,0.001,0.10025384178910639,0.20870607978070724,0.206221998773242,0.2649705004698717,0.3201014209761791,451
451.0,864.71,452071.83,0.9181,0.001,0.14709924780539266,0.2390359090258029,0.4034170880727341,0.2217757117799721,0.13577129112149083,451
451.0,864.71,452071.83,0.9181,0.001,0.08101506484745935,0.2227833060105096,0.07399947689203548,0.5633817134296836,0.13983550366777148,451
